Station Number,Station,Date,Riding Type,01AM-02AM,02AM-03AM,03AM-04AM,04AM-05AM,05AM-06AM,06AM-07AM,07AM-8AM,08AM-09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,24AM-01AM
95,Dadaepo Beach,2023.12.31,boarding,0,0,0,12,31,53,63,137,167,224,319,354,347,477,559,447,1747,808,448,258,180,146,45,14
95,Dadaepo Beach,2023.12.31,alighting,52,10,0,2,28,61,47,92,116,221,275,323,425,532,670,1393,831,257,244,156,150,129,71,45
96,Dadaepo Harbor,2023.12.31,boarding,0,0,0,4,28,34,39,99,117,121,184,211,226,208,258,250,239,160,148,118,105,72,5,5
96,Dadaepo Harbor,2023.12.31,alighting,18,5,0,0,14,53,38,59,88,125,171,189,196,216,250,300,299,225,146,146,108,96,71,29
97,Natgae,2023.12.31,boarding,1,1,0,4,44,63,102,167,213,239,267,299,290,279,276,334,310,199,125,107,108,92,30,4
97,Natgae,2023.12.31,alighting,17,12,0,0,5,43,39,66,91,101,134,160,226,216,287,356,385,366,213,193,184,194,127,35
98,Sinjangnim,2023.12.31,boarding,0,2,0,4,33,47,68,102,149,173,172,160,167,173,137,176,145,108,90,64,76,65,9,7
98,Sinjangnim,2023.12.31,alighting,31,5,0,0,5,27,32,35,43,61,71,102,108,132,175,198,194,175,123,87,110,63,52,19
99,Jangnim,2023.12.31,boarding,1,1,0,4,36,30,46,81,95,124,184,177,211,163,190,223,205,128,131,109,94,92,26,5
99,Jangnim,2023.12.31,alighting,68,16,0,2,4,48,28,59,70,57,128,107,132,115,159,167,215,193,154,88,113,89,58,23
100,Dongmae,2023.12.31,boarding,0,1,0,4,36,54,59,113,155,187,185,246,203,209,198,257,186,157,98,83,56,68,10,9
100,Dongmae,2023.12.31,alighting,17,11,0,0,4,55,34,58,64,97,74,108,138,134,175,173,198,180,164,130,145,133,55,35
101,Sinpyeong,2023.12.31,boarding,0,0,0,18,52,68,118,151,237,255,336,289,306,312,313,319,341,277,171,120,118,123,40,15
101,Sinpyeong,2023.12.31,alighting,35,14,0,2,14,47,79,99,74,164,163,186,184,257,307,362,392,404,281,250,212,193,106,132
102,Hadan,2023.12.31,boarding,8,0,0,20,103,148,238,385,553,762,833,925,1173,1436,1387,1381,1130,1125,694,676,657,531,228,30
102,Hadan,2023.12.31,alighting,94,68,0,3,30,212,235,351,579,665,770,684,759,882,968,1137,1300,1192,1024,754,694,608,393,260
103,Dangni,2023.12.31,boarding,2,0,0,8,48,58,84,147,228,281,293,323,373,336,275,354,269,235,132,117,104,104,33,37
103,Dangni,2023.12.31,alighting,23,13,0,2,5,49,38,105,136,186,183,171,203,257,324,386,329,381,235,284,178,167,83,73
104,Saha,2023.12.31,boarding,1,0,0,1,37,62,73,157,191,241,263,284,250,219,222,259,226,202,118,84,119,75,42,9
104,Saha,2023.12.31,alighting,21,0,0,0,14,33,31,53,74,115,109,123,167,191,236,278,257,213,184,163,157,119,63,83
105,Goejeong,2023.12.31,boarding,4,0,0,2,73,98,109,228,326,401,433,484,505,540,522,572,516,347,288,260,218,190,56,30
105,Goejeong,2023.12.31,alighting,40,1,0,0,15,62,63,116,159,248,256,364,445,432,558,618,565,591,337,300,257,274,130,109
106,Daeti,2023.12.31,boarding,8,0,0,7,33,39,76,130,203,225,240,274,237,199,214,179,164,136,98,78,65,75,15,10
106,Daeti,2023.12.31,alighting,28,0,0,3,9,44,36,65,90,113,74,94,148,156,205,257,210,214,164,121,141,88,55,77
107,Seodaesin,2023.12.31,boarding,1,0,0,2,20,24,48,90,162,190,186,222,209,232,267,237,222,122,92,65,51,35,19,10
107,Seodaesin,2023.12.31,alighting,32,0,0,1,12,40,60,116,142,166,128,150,188,165,188,199,164,164,112,123,140,82,54,45
108,Dongdaesin,2023.12.31,boarding,3,0,0,5,60,59,99,176,247,298,331,420,406,414,430,410,298,250,157,166,124,130,36,20
108,Dongdaesin,2023.12.31,alighting,46,0,0,0,14,68,51,74,153,211,169,188,220,238,283,353,326,342,246,215,165,160,142,64
109,Toseong,2023.12.31,boarding,3,0,0,3,48,71,107,186,225,301,340,451,397,358,413,436,407,252,175,115,115,131,73,28
109,Toseong,2023.12.31,alighting,26,0,0,0,46,77,81,146,283,307,280,252,304,303,318,278,280,236,212,115,187,174,115,54
110,Jagalchi,2023.12.31,boarding,25,0,0,7,64,95,121,233,367,502,712,998,1336,2018,2351,2529,2107,1910,1587,1414,1257,879,461,291
110,Jagalchi,2023.12.31,alighting,60,0,0,3,59,129,223,337,728,1144,2025,2529,2406,2278,2093,2051,1728,1560,988,638,527,374,213,66
111,Nampo,2023.12.31,boarding,22,0,0,2,72,89,145,274,500,535,704,927,1286,1661,2141,2587,2280,2315,1959,1865,1210,851,381,1082
111,Nampo,2023.12.31,alighting,98,0,0,0,68,151,212,404,864,1337,1950,2126,2431,2307,2251,2234,2073,1881,1192,936,732,721,553,70
112,Jungang,2023.12.31,boarding,9,0,0,0,42,63,67,129,239,217,232,265,298,345,403,429,440,317,226,208,164,124,64,657
112,Jungang,2023.12.31,alighting,81,0,0,0,17,57,84,138,160,230,241,288,341,304,365,317,280,273,163,197,169,167,116,23
113,Busan Station,2023.12.31,boarding,12,0,0,1,77,105,138,412,989,1615,2111,1678,2307,1451,2153,1799,1781,1366,1202,919,880,750,297,77
113,Busan Station,2023.12.31,alighting,211,0,0,0,104,344,568,799,1050,1092,1237,1408,1623,1952,1856,1934,1850,1758,1688,1026,1026,616,315,150
114,Choryang,2023.12.31,boarding,0,0,0,1,31,59,73,116,186,198,209,259,351,312,284,302,250,219,152,145,77,89,52,10
114,Choryang,2023.12.31,alighting,51,0,0,0,17,52,67,110,96,178,178,180,217,204,251,265,267,233,220,151,177,136,90,33
115,Busanjin,2023.12.31,boarding,6,0,0,0,61,53,97,147,198,266,352,432,366,345,292,295,334,266,168,103,98,107,35,16
115,Busanjin,2023.12.31,alighting,37,0,0,0,11,50,67,112,175,209,160,220,242,298,327,380,326,285,193,194,170,129,74,71
116,Jwacheon,2023.12.31,boarding,5,0,0,0,32,62,81,117,160,189,221,274,340,389,240,222,215,119,89,61,73,44,19,14
116,Jwacheon,2023.12.31,alighting,21,0,0,0,21,48,39,100,123,289,330,119,157,169,197,192,185,172,127,184,123,125,81,48
117,Beomil,2023.12.31,boarding,4,0,0,1,73,95,126,180,255,344,473,572,790,830,854,725,647,537,378,408,209,177,73,9
117,Beomil,2023.12.31,alighting,24,0,0,0,40,83,116,198,505,626,650,679,637,686,670,625,595,445,329,271,202,221,156,71
118,Beomnaegol,2023.12.31,boarding,4,0,0,1,62,96,105,236,341,382,367,355,365,335,386,338,371,363,212,182,174,182,77,3
