Date,Line Number,Station Number,Station,Ride Type,Before 6AM,06AM-07AM,07AM - 08AM,08AM - 09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,After 24AM
2023.12.31,1,150,Seoul Station,boarding,167,197,322,715,1164,1968,2270,2817,2988,2191,3357,2725,3253,3044,2876,2150,2433,1818,915,364
2023.12.31,1,150,Seoul Station,alighting,177,902,1309,1488,2428,2163,2284,2858,2723,2679,2699,2580,2648,2281,2006,1669,1542,1010,416,2581
2023.12.31,1,151,City Hall,boarding,53,92,148,211,283,398,569,663,745,983,1038,1286,1417,1597,1550,1633,1388,1089,494,4761
2023.12.31,1,151,City Hall,alighting,74,256,313,610,753,902,1179,1172,1247,1284,1377,1417,1363,1235,925,904,903,964,1801,802
2023.12.31,1,152,Jonggak,boarding,229,156,163,216,284,415,581,791,946,1254,1590,1919,1899,2496,2554,2601,2483,2346,5,2166
2023.12.31,1,152,Jonggak,alighting,60,228,290,508,802,1006,1448,1766,1605,1781,1849,1939,2303,2491,2073,2289,2920,4106,373,270
2023.12.31,1,153,Jongno 3(sam)ga,boarding,221,163,138,242,396,501,773,1127,1184,1329,1649,1943,2116,1800,1530,1494,1362,1153,938,6480
2023.12.31,1,153,Jongno 3(sam)ga,alighting,49,157,172,289,552,994,1442,1845,2005,1795,1622,1345,1314,1209,891,884,794,799,2761,877
2023.12.31,1,154,Jongno 5(o)ga,boarding,64,49,111,167,299,512,854,1221,1474,1591,1489,1559,1400,1321,1092,879,779,464,265,332
2023.12.31,1,154,Jongno 5(o)ga,alighting,26,86,152,282,675,963,1362,1743,1749,1527,1245,1090,1019,993,627,490,323,254,166,246
2023.12.31,1,155,Dongdaemun,boarding,129,116,162,304,469,577,575,861,1014,991,1033,1137,986,840,636,526,504,516,385,535
2023.12.31,1,155,Dongdaemun,alighting,28,116,156,231,463,761,982,1083,1123,966,1005,898,828,872,799,635,668,639,445,564
2023.12.31,1,156,Sinseoldong,boarding,120,120,188,267,424,530,596,634,754,721,745,811,693,731,403,277,319,302,144,54
2023.12.31,1,156,Sinseoldong,alighting,29,117,135,204,372,620,509,607,606,594,514,557,524,470,503,431,412,355,238,493
2023.12.31,1,157,Jegidong,boarding,86,111,152,251,405,502,706,876,994,1083,1227,1245,945,713,560,390,290,225,99,24
2023.12.31,1,157,Jegidong,alighting,38,105,136,225,384,661,909,1132,1366,1292,1044,910,745,460,390,325,287,262,179,298
2023.12.31,1,158,Cheongnyangni(University of Seoul),boarding,165,173,283,442,687,800,943,1216,1235,1445,1560,1589,1447,1010,667,638,499,358,175,77
2023.12.31,1,158,Cheongnyangni(University of Seoul),alighting,37,176,254,417,507,873,1180,1488,1641,1542,1427,1484,1055,870,778,584,614,475,302,1119
